11.01.2016 23:07:55.783 bein
11.01.2016 23:07:55.783 k1 50
11.01.2016 23:07:55.783 start lang_f
11.01.2016 23:07:55.783 close lang_f
11.01.2016 23:07:55.783 start lang
11.01.2016 23:07:55.783 close lang
11.01.2016 23:07:57.985 start map_generate
11.01.2016 23:08:05.678 start hero_generate
11.01.2016 23:08:10.407 hero_generate -2- 
11.01.2016 23:08:10.407 hero_generate -3- 
11.01.2016 23:08:10.407 hero_generate -4- 
11.01.2016 23:08:10.407 hero_generate -5- 
11.01.2016 23:08:24.159 trade_out trade
